window,kind,seed,sel,thr,acc,bal,prec,rec,f1
30,bilstm,2,acc,0.07500000000000001,0.5967741935483871,0.5,0.5967741935483871,1.0,0.7474747474747475
30,bilstm,2,bal,0.22500000000000003,0.5645161290322581,0.5118918918918919,0.6041666666666666,0.7837837837837838,0.6823529411764706
30,bilstm,2,f1,0.07500000000000001,0.5967741935483871,0.5,0.5967741935483871,1.0,0.7474747474747475
30,bilstm,3,acc,0.25000000000000006,0.5483870967741935,0.48540540540540544,0.5882352941176471,0.8108108108108109,0.6818181818181818
30,bilstm,3,bal,0.25000000000000006,0.5483870967741935,0.48540540540540544,0.5882352941176471,0.8108108108108109,0.6818181818181818
30,bilstm,3,f1,0.25000000000000006,0.5483870967741935,0.48540540540540544,0.5882352941176471,0.8108108108108109,0.6818181818181818
60,cnn,1,acc,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,cnn,1,bal,0.7500000000000002,0.40350877192982454,0.5,0.0,0.0,0.0
60,cnn,1,f1,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,cnn,2,acc,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,cnn,2,bal,0.6500000000000002,0.40350877192982454,0.5,0.0,0.0,0.0
60,cnn,2,f1,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,cnn,3,acc,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,cnn,3,bal,0.7750000000000002,0.40350877192982454,0.5,0.0,0.0,0.0
60,cnn,3,f1,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,gru,1,acc,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,gru,1,bal,0.6500000000000002,0.3333333333333333,0.39194373401534527,0.3,0.08823529411764706,0.13636363636363635
60,gru,1,f1,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,gru,2,acc,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,gru,2,bal,0.5250000000000001,0.3684210526315789,0.4002557544757033,0.4444444444444444,0.23529411764705882,0.3076923076923077
60,gru,2,f1,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,gru,3,acc,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,gru,3,bal,0.8000000000000003,0.38596491228070173,0.47122762148337594,0.3333333333333333,0.029411764705882353,0.05405405405405406
60,gru,3,f1,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,lstm,1,acc,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,lstm,1,bal,0.8250000000000003,0.40350877192982454,0.5,0.0,0.0,0.0
60,lstm,1,f1,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,lstm,2,acc,0.5000000000000002,0.38596491228070173,0.47122762148337594,0.3333333333333333,0.029411764705882353,0.05405405405405406
60,lstm,2,bal,0.5000000000000002,0.38596491228070173,0.47122762148337594,0.3333333333333333,0.029411764705882353,0.05405405405405406
